Subject Name:D:\adrian0706nast.txt
File Created: 08.06.2016 00:10:17 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
65,836	Moved	666	700
65,844	Moved	664	695
65,852	Moved	663	687
65,86	Moved	663	678
65,868	Moved	661	665
65,876	Moved	660	650
65,885	Moved	654	626
65,893	Moved	642	597
65,9	Moved	629	562
65,908	Moved	613	529
65,916	Moved	597	499
65,924	Moved	574	468
65,93	Moved	551	441
65,938	Moved	531	419
65,946	Moved	512	396
65,954	Moved	494	378
65,962	Moved	474	358
65,97	Moved	454	340
65,979	Moved	439	327
65,987	Moved	423	318
65,995	Moved	410	313
66,003	Moved	397	313
66,011	Moved	387	314
66,065	Moved	380	317
66,15	Moved	380	318
66,158	Moved	380	316
66,166	Moved	379	314
66,174	Moved	377	311
66,183	Moved	376	307
66,191	Moved	372	304
66,198	Moved	369	299
66,206	Moved	363	290
66,214	Moved	355	281
66,222	Moved	346	273
66,23	Moved	332	263
66,236	Moved	316	247
66,244	Moved	302	235
66,252	Moved	292	223
66,26	Moved	282	213
66,268	Moved	272	203
66,276	Moved	265	194
66,285	Moved	257	185
66,293	Moved	250	178
66,301	Moved	245	173
66,309	Moved	241	168
66,317	Moved	237	164
66,325	Moved	234	162
66,333	Moved	232	159
66,339	Moved	230	158
66,349	Moved	227	157
66,355	Moved	226	156
66,363	Moved	225	155
66,371	Moved	224	154
66,379	Moved	223	153
66,387	Moved	222	152
66,394	Moved	221	151
66,402	Moved	220	150
66,41	Moved	219	149
66,418	Moved	217	148
66,426	Moved	216	147
66,434	Moved	214	146
66,443	Moved	211	145
66,449	Moved	210	144
66,459	Moved	206	142
66,465	Moved	203	141
66,475	Moved	202	140
66,489	Pressed Left	201	140
66,858	Moved	201	140
66,866	Moved	204	145
66,874	Moved	208	153
66,883	Moved	214	164
66,889	Moved	220	173
66,896	Moved	227	183
66,904	Moved	232	188
66,912	Moved	236	193
66,92	Moved	239	198
66,928	Moved	243	203
66,936	Moved	247	208
66,944	Moved	250	212
66,952	Moved	253	215
66,96	Moved	255	219
